Datetime,Close,High,Low,Open,Volume
2025-05-13 13:30:00+00:00,18753.55859375,18760.341796875,18753.55859375,18760.341796875,0
2025-05-13 13:31:00+00:00,18772.0234375,18772.0234375,18745.501953125,18753.5546875,51687088
2025-05-13 13:32:00+00:00,18785.8359375,18795.228515625,18772.310546875,18775.021484375,56390027
2025-05-13 13:33:00+00:00,18799.755859375,18801.189453125,18791.296875,18791.296875,48086085
2025-05-13 13:34:00+00:00,18805.806640625,18805.806640625,18793.6875,18803.66796875,43382376
2025-05-13 13:35:00+00:00,18824.001953125,18824.001953125,18801.62109375,18807.25390625,42657000
2025-05-13 13:36:00+00:00,18815.474609375,18826.837890625,18815.474609375,18820.130859375,45412000
2025-05-13 13:37:00+00:00,18807.083984375,18815.814453125,18807.083984375,18815.814453125,40821000
2025-05-13 13:38:00+00:00,18815.17578125,18818.974609375,18805.970703125,18806.013671875,35706000
2025-05-13 13:39:00+00:00,18815.7734375,18821.673828125,18814.52734375,18814.9765625,32021000
2025-05-13 13:40:00+00:00,18828.615234375,18828.615234375,18815.55078125,18818.26171875,34005000
2025-05-13 13:41:00+00:00,18833.705078125,18835.28125,18828.220703125,18831.6796875,32253000
2025-05-13 13:42:00+00:00,18821.494140625,18831.974609375,18821.494140625,18831.974609375,34694000
2025-05-13 13:43:00+00:00,18817.234375,18820.767578125,18807.49609375,18820.767578125,30955000
2025-05-13 13:44:00+00:00,18827.8125,18830.36328125,18818.01171875,18818.01171875,34103000
2025-05-13 13:45:00+00:00,18822.986328125,18831.8671875,18822.986328125,18827.11328125,32587000
2025-05-13 13:46:00+00:00,18823.21484375,18826.71484375,18816.240234375,18823.48828125,33660000
2025-05-13 13:47:00+00:00,18828.111328125,18828.92578125,18824.576171875,18828.92578125,30000000
2025-05-13 13:48:00+00:00,18816.23046875,18828.56640625,18816.23046875,18828.56640625,28940000
2025-05-13 13:49:00+00:00,18815.9765625,18817.896484375,18815.212890625,18815.212890625,26734000
2025-05-13 13:50:00+00:00,18843.359375,18843.599609375,18816.84765625,18816.84765625,27043000
2025-05-13 13:51:00+00:00,18847.67578125,18848.94921875,18841.666015625,18845.939453125,33459000
2025-05-13 13:52:00+00:00,18857.841796875,18857.841796875,18850.275390625,18850.275390625,27906000
2025-05-13 13:53:00+00:00,18853.798828125,18865.001953125,18850.900390625,18860.05078125,29166000
2025-05-13 13:54:00+00:00,18867.86328125,18867.86328125,18856.7109375,18856.99609375,29692000
2025-05-13 13:55:00+00:00,18867.826171875,18868.302734375,18862.8984375,18868.302734375,27607000
2025-05-13 13:56:00+00:00,18874.873046875,18874.873046875,18865.73828125,18868.51953125,27217000
2025-05-13 13:57:00+00:00,18877.369140625,18878.583984375,18875.767578125,18878.400390625,25931000
2025-05-13 13:58:00+00:00,18876.611328125,18879.0234375,18874.943359375,18879.0234375,29617000
2025-05-13 13:59:00+00:00,18875.052734375,18879.96875,18872.845703125,18875.458984375,27706000
2025-05-13 14:00:00+00:00,18872.30859375,18877.009765625,18869.71484375,18873.52734375,26403000
2025-05-13 14:01:00+00:00,18883.134765625,18886.0078125,18874.650390625,18874.650390625,29299000
2025-05-13 14:02:00+00:00,18887.279296875,18888.19140625,18882.310546875,18882.310546875,28586000
2025-05-13 14:03:00+00:00,18895.990234375,18895.990234375,18888.552734375,18889.6171875,24911000
2025-05-13 14:04:00+00:00,18891.630859375,18896.85546875,18891.630859375,18892.818359375,26823000
2025-05-13 14:05:00+00:00,18896.71484375,18897.052734375,18891.888671875,18892.505859375,27239000
2025-05-13 14:06:00+00:00,18904.74609375,18906.07421875,18894.263671875,18896.013671875,25683000
2025-05-13 14:07:00+00:00,18915.953125,18915.953125,18904.4140625,18904.4140625,27802000
2025-05-13 14:08:00+00:00,18925.25390625,18925.25390625,18919.23828125,18919.23828125,28764000
2025-05-13 14:09:00+00:00,18919.626953125,18924.693359375,18919.369140625,18924.693359375,26303000
2025-05-13 14:10:00+00:00,18905.142578125,18914.416015625,18901.90234375,18914.416015625,27452000
2025-05-13 14:11:00+00:00,18914.140625,18916.353515625,18899.939453125,18908.689453125,24676000
2025-05-13 14:12:00+00:00,18918.708984375,18921.591796875,18912.904296875,18916.08984375,25456000
